loc,cause,lat,lon,count
Ada,Medical,38.8398935,-83.5051704,11
Adams,Suicide,39.9787786,-91.2110065,27
Aiken,Medical,33.5723191,-81.6182086,9
Alachua,Medical,29.675568,-82.3640109,16
Alameda,Medical,37.6090291,-121.899142,78
Allegheny,Medical,40.4597204,-79.9760405,42
Allen,Medical,40.8077797,-84.0572225,12
Anderson,Medical,31.7819242,-95.6258199,5
Androscoggin,Accidental,44.1402839,-70.196395,4
Anne Arundel,Suicide,38.9722583,-76.573454,17
Anoka,Medical,45.2710195,-93.2827625,2
Arapahoe,Suicide,39.6416781,-104.3628567,18
Aroostook,Suicide,46.6847962,-68.4701132,1
Atlantic,Suicide,39.5143268,-74.6632883,30
Baldwin,Medical,33.0869398,-83.2633216,6
Baltimore,Medical,39.2908816,-76.610759,27
Baltimore City,Medical,39.32597265,-76.59675856233282,77
Bannock,Medical,42.6936188,-112.2506044,4
Barnstable,Suicide,41.6718684,-70.3499234,4
Bay,Medical,47.2885,5.71839,16
Beaver,Suicide,40.6916624,-80.3709999,1
Belknap,Drug overdose,43.5218848,-71.4530581,1
Benton,Drug overdose,45.7162129,-94.0481042,16
Bergen,Medical,60.3943055,5.3259192,2
Berkeley,Medical,37.8708393,-122.272863,9
"Berkeley, Jefferson, & Morgan",Suicide,37.8699519,-122.2784868,12
Berks,Medical,51.4534889,-1.0318729593399247,19
Bernalillo,Medical,35.0349239,-106.6870693,43
Bexar,Medical,29.4263987,-98.5104781,77
Bibb,Medical,32.8095879,-83.694562,8
Bingham,Suicide,43.1881598,-112.3598354,1
Black Hawk,Drug overdose,42.4607526,-92.3030235,3
Bonneville,Drug overdose,50.0776486,2.258570041718889,5
Boulder,Suicide,40.0149856,-105.270545,19
Boyd,Medical,38.3608934,-82.6945926,6
Bristol,Suicide,51.4538022,-2.5972985,37
Bronx,Medical,40.851039,-73.84025027765061,7
Broward,Medical,26.1598074,-80.4623642,86
Brown,Suicide,31.7525184,-98.9904722,9
Buchanan,Medical,39.6733203,-94.794829,5
Bucks,Suicide,40.3451668,-75.1263909,11
Buffalo,Suicide,42.8867166,-78.8783922,1
Buncombe,Suicide,35.6292222,-82.5255603,12
Burleigh,Medical,46.9498874,-100.5127667,5
Butler,Medical,39.4233043,-84.5936897,8
Cache,Medical,41.7042978,-111.7451159,3
Caddo Parish,Medical,32.529173,-93.8931785,14
Calhoun,Medical,28.5031572,-96.6736551,9
Camden,Medical,39.9448402,-75.1198911,32
Cameron,Medical,4.6125522,13.1535811,10
Campbell,Medical,38.9339799,-84.3715286,9
Canyon,Suicide,34.9799429,-101.919197,6
Carroll,Drug overdose,42.0647352,-89.9556785,1
Carson,Suicide,35.3636563,-101.3353895,5
Cascade,Suicide,47.3271465,-111.3281242,10
Cass,Accidental,33.0560857,-94.3510366,1
Cassia,Drug overdose,42.2219306,-113.5777087,1
Charles,Suicide,38.4991611,-77.027847,7
Charleston,Medical,32.7884363,-79.9399309,14
Chatham,Medical,35.7151316,-79.2533035,22
Chaves,Drug overdose,41.7399003,-7.4715213,4
Chesapeake City,Medical,39.5271001,-75.8124776,10
Cheshire,Drug overdose,53.2141028,-2.471770086071205,4
Chester,Suicide,53.1908873,-2.8908955,5
Christian,Suicide,39.5212598,-89.2829783,2
Clackamas,Medical,45.1608821,-122.2305038,5
Clark,Suicide,39.3260541,-87.7838526,57
Clay,Suicide,33.6856157,-98.2123296,8
Clayton,Medical,33.5204959,-84.3591713,19
Cleveland,Drug overdose,41.4996574,-81.6936772,7
Cobb,Medical,33.9373948,-84.5732006,25
Cochise,Medical,31.8514532,-109.8181858,10
Coconino,Medical,35.9363252,-111.6948197,6
Codington,Drug overdose,44.9695646,-97.1976513,2
Coffee,Drug overdose,31.5301809,-82.8405691,6
Collier,Medical,26.087964,-81.3794941,16
Collin,Medical,33.1609629,-96.6060984,8
Comanche,Medical,31.9130171,-98.527388,4
Contra Costa,Medical,37.9034806,-121.9175345,27
Cook,Medical,41.8197385,-87.756525,102
Craighead,Drug overdose,35.8348413,-90.6441144,1
Creek,Suicide,35.8830723,-96.3835476,4
Crittenden,Medical,37.3600974,-88.0885106,5
Crow Wing,Suicide,46.4665237,-94.1017044,5
